Facebook joins Google, halts mandatory arbitration in sexual harassment cases	2018-11-09	705	Ars Technica	5 On Friday, Facebook followed Googles lead and announced to employees that it would be ending its policy that required mandatory arbitration for employee sexual harassment claims. The news was first reported by the Wall Street Journal, which noted that there… [+538 chars]
As laptop replacements, the iPad Pro and Surface Pro are worlds apart	2018-11-09	705	Fastcompany.com	Once, tablets were viewed as physically and computationally lightweight devices that could do a few things well but were no match for the power and interface flexibility offered by notebooks. Competition between the two companies that drove the strongest PC e… [+6733 chars]
Quantum computing explained in a 2-minute video	2018-11-09	705	Boingboing.net	"Jim Mortleman &amp; Stuart Houghton write, ""We're two UK tech journalists who also write comedy. This is our (UK-based) scripted comi-documentary podcast explaining the weird, wacky and potentially world-changing field of quantum computing to a curious but co… [+1271 chars]"
No digital effects were used to animate this indie band's stop-motion music video	2018-11-09	705	Boingboing.net	Welcome back. This second installment of The Bureau has you out of your Morning Meeting. It is now 10:03am. Listen carefully to the AB6700 Broadcast System for an important announcement, followed by instructions for administering your compulsory joy to the GB… [+1728 chars]
Watch: Trent Reznor and Shinya Tsukamoto's MTV Japan commercial from 1993	2018-11-09	705	Boingboing.net	In the 1980s, Pennsylvania-based Michele Mercure was composing music for theater, film, and TV animation. After a trip to the Netherlands, she became inspired by the German kosmiche music scene of Kluster, Tangerine Dream, and the like. But Mercure cut her ow… [+1682 chars]
Astonishing close-up image of Jupiter taken by Juno last month	2018-11-09	705	Boingboing.net	Today would have been Carl Sagan’s 84th birthday. I wish he were here. Watch the above, climb aboard your Ship of the Imagination, and make the future. View this post on Instagram My dear wonderful dad would be 84 today. I find that very hard to imagine. I sp… [+1378 chars]
Microsoft Surface Laptop 2 (2018) Review: Impressive Features, Design	2018-11-08	801	Wired	While the Surface was originally envisioned as a tablet, at some point along the way, Microsoft realized that, you know, what a lot of people actually want is a laptop. One with a real keyboard that you can type on, not some floppy snap-on device that cant ev… [+2984 chars]
Amazon launches Alexa app for Windows 10 PCs	2018-11-08	801	TechCrunch	Amazon today launched an Alexa app for Windows 10 PCs on the Microsoft Store. The voice application allows PC owners to speak to Alexa to set reminders, timers, alarms; create lists and to-dos; track their calendar appointments; get news, weather and other in… [+1259 chars]
Grab lands $50M from Thailand’s Kasikorn Bank to further its fintech push	2018-11-08	801	TechCrunch	Southeast Asia ride-hailing firm Grab is continuing to add strategic investors to its ongoing Series H round — which is targeted at over $3 billion — after it revealed Thai bank Kasikorn put in $50 million as part of a strategic partnership to advance its fin… [+2767 chars]
Some Windows 10 Pro installations are being erroneously deactivated	2018-11-08	801	Ars Technica	5 What's the fucking shit with you, MS, pic.twitter.com/Bw9n7MbJ7v FaiKee (@FaiKeeF) November 8, 2018 For reasons that are currently unclear, Windows 10 Professional users are finding that their properly licensed installations are being deactivated. On system… [+593 chars]
Best Buy's Black Friday 2018 ad has landed: 4K TVs, iPhone X, Microsoft Surface Pro, and more tech on deck	2018-11-08	801	Mashable	You know those Black Friday videos of customers running into the store and trampling each other for a TV like the IRL version of the wildebeest stampede in The Lion King ? Yeah, let's not do that. Instead, snag a new TV, high-end laptop, KitchenAid mixer, and… [+3913 chars]
Make the most of Microsoft Office with this comprehensive course	2018-11-08	801	Boingboing.net	Microsoft Office tools were created to save you time. We take that for granted in the modern office, but if you truly want to learn how to spur those old Office warhorses like Excel and PowerPoint, there's no better investment than the A to Z Microsoft Office… [+2749 chars]
Control Alexa from your Windows 10 PC - CNET	2018-11-08	801	Cnet.com	Microsoft Amazon released the Alexa app for Windows 10 today, which lets you operate the Alexa voice assistant with your voice or keyboard from a PC. Previously the app was only available preloaded on compatible PCs from brands like Lenovo, but Alexa is now a… [+701 chars]
Alexa is now available on Windows 10 PCs	2018-11-08	801	Mashable	Amazon's popular voice assistant Alexa continues to invade our everyday lives. The online retail giant announced today that it's releasing an Alexa app for all Windows 10 PCs. The voice assistant was previously available on only select Windows 10 laptops, but… [+1549 chars]
Bonobo AI raises $4.5M seed round to help companies turn interactions with customers into valuable data	2018-11-08	801	TechCrunch	Bonobo AI, an AI-based platform that helps companies get insights from customer support calls, texts, and other interactions, announced today that it has raised $4.5 million in seed funding led by G20 Ventures and Capri Ventures. Founded in 2016 and led by co… [+3034 chars]
Amazon's Alexa PC app now available on the Microsoft Store for Windows 10	2018-11-08	801	Windowscentral.com	As was hinted at in August, Amazon has finally brought its Alexa for PC app to the Microsoft Store. While the app was previously available outside of Microsoft's digital storefront for compatible devices, you can now download the app and manage its updates di… [+1021 chars]
Microsoft Word is getting a to-do feature to help people manage documents	2018-11-07	732	The Verge	Microsoft is starting to test a new to-do feature in Word today. The software maker found that a lot of people leave notes in their Word documents as placeholders to add more text, images, or charts. Microsoft is now making these notes a lot more powerful wit… [+1961 chars]
Grab pulls in $250M from Hyundai as ongoing round reaches $2.7B	2018-11-07	732	TechCrunch	Grab, the Singapore startup that bought Uber’s Southeast Asia business earlier this year, continues to announce strategic investors for its ongoing Series H funding round. The latest edition revealed today is Korean automotive firm Hyundai, which is investing… [+3969 chars]
Samsung’s dual-screen folding phone is very strange and probably doomed	2018-11-07	732	TechCrunch	Let me just say that I love the idea of a folding phone/tablet device. I was a Courier fanboy when Microsoft floated that intriguing but abortive concept device, and I’m all for unique form factors and things that bend. But Samsung’s first real shot at a fold… [+4158 chars]
9 Cool Tricks for Outlook.com That You Can't Do in Gmail	2018-11-07	732	Gizmodo.com	For years Gmail has ruled the land of web-based email services, but slowly and surely Microsoft has been making Outlook.com a force to be reckoned with. Were not yet at the stage where we can confidently declare Outlook.com is superior to Gmail for your onlin… [+5408 chars]
Microsoft Launcher gets big 5.0 update with Windows Timeline support	2018-11-07	732	Androidcentral.com	Microsoft Launcher's big update to version 5.0 is now rolling out to everyone on Android, coming a little over a month after first launching for beta testers. This update brings several added tweaks and features, but the biggest addition by far is Windows Tim… [+1106 chars]
As PUBG for PS4 looms, Xbox unofficially responds: have the game for free	2018-11-07	732	Ars Technica	Enlarge / It's not as solid as the PC version, but at least today, it's free-er. 0 Performance issues have plagued the Xbox One version of Playerunknown's Battlegrounds ( PUBG ) long enough to make us wary of recommending the game at its $30 retail price poin… [+1683 chars]
Microsoft's new Surface Laptop 2 is one of the best you can buy today — and it's a cheaper alternative to Apple's MacBook	2018-11-07	732	Business Insider	The Insider Picks team writes about stuff we think you'll like. Business Insider has affiliate partnerships, so we get a share of the revenue from your purchase. Traditionally, Microsoft has been known as a software company, but in recent years that has been … [+5653 chars]
Microsoft’s special Costco Surface Go is now available to all	2018-11-07	732	Ars Technica	5 Surface Go is Microsoft's cheapest Surface 2-in-1 available : $399 gets you a Surface Go with 4GB RAM and 64GB of eMMC storage. But the next step up in specs was a lot more expensive: it takes an extra $150 to double the RAM to 8GB and replace the 64GB eMMC… [+951 chars]
Diablo: Immortal’s Reveal Was an Unnecessary Mess	2018-11-07	732	IGN	Microsoft, Bethesda, and Nintendo have shown that mobile games don't need to be a controversial announcement. By Tom Marks Blizzard announced Diablo: Immortal at BlizzCon last Friday, spurring one of the angriest backlashes to a video game reveal Ive ever see… [+5572 chars]
Microsoft Store UK offers extra £60 on trade-ins through November 14	2018-11-07	732	Windowscentral.com	If you have any devices to trade in at the Microsoft Store ahead of the holidays, Microsoft is looking to sweeten the deal with a bit of extra cash in the UK. From today through November 14, you'll be able to snag an extra £60 to spend at the Microsoft Store … [+719 chars]
Top Cortana Exec Out at Microsoft as Internal Shakeup Continues	2018-11-06	838	Gizmodo.com	The next VP to leave Microsoft is the current head of Cortana, Javier Soltero, according to multiple reports. The departure is part of an ongoing internal shakeup at Microsoft that has seen execs including 20-year vet Terry Myerson leave the company. Soltero … [+1420 chars]
Bill Gates uses poop as a prop	2018-11-06	838	CNN	Null
Google launches Cloud Scheduler, a managed cron service	2018-11-06	838	TechCrunch	Google Cloud is getting a managed cron service for running batch jobs. Cloud Scheduler, as the new service is called, provides all the functionality of the kind of standard command-line cron service you probably love to hate, but with the reliability and ease… [+1462 chars]
Researchers 'Break' Microsoft's Edge With Zero-Day Remote Code Exploit	2018-11-06	838	Slashdot.org	The researcher had initially been looking into three remote code execution bugs for Firefox as part of an 'exploit chain', but struggled to establish code for the third. He then found two similar flaws on Microsoft Edge using the Wadi Fuzzer app developed by … [+658 chars]
Amazon's Dystopian HQ2 Reality Show May Get a Twist Ending	2018-11-06	838	Gizmodo.com	With the finish line of HQ2 drawing closer, Amazons metro region deathmatch took an unexpected turn today which indicated there would be no single winner. The competition to host HQ has long been overshadowed by concerns over strained infrastructure and a yea… [+1870 chars]
Bill Gates Showed Off a Jar of Poop to Get Us Jazzed About Toilets of the Future	2018-11-06	838	Gizmodo.com	Have you ever wondered which tech billionaire thinks the most about pooping? Well, ponder no further. Its Bill Gates. On Tuesday, the Microsoft co-founder flexed his flair for theatrics by brandishing a jar of human feces in front of a stunned Beijing crowd. … [+1950 chars]
Bill Gates brandishes poo to showcase reinvented toilet tech	2018-11-06	838	BBC News	Image copyright AFP Image caption Mr Gates used the beaker of faeces to highlight bacteria and sanitation-related disease Billionaire philanthropist and Microsoft founder Bill Gates had his hands full on-stage in Beijing on Tuesday, showing a jar of human fae… [+3050 chars]
Cortana chief Javier Soltero reportedly departing Microsoft	2018-11-06	838	Windowscentral.com	As Microsoft continues to shake up its internal teams with a reorganization effort that began earlier this year, another executive may be on his way out: Javier Soltero. According to a report from ZDNet's Mary Jo Foley, Soltero, who currently leads Microsoft'… [+1126 chars]
Microsoft Kaizala expands worldwide as part of Office 365 commercial	2018-11-06	838	Windowscentral.com	Microsoft Kaizala, a group communications app that got its start as a Microsoft Garage project in India, is preparing to go worldwide for Office 365 commercial plan users. In a blog post (via ZDNet, Microsoft said it is adding Kaizala Pro to Office 365 commer… [+262 chars]
New Shopping Cart now available to Xbox Insiders, Wish List coming soon	2018-11-06	838	Windowscentral.com	Microsoft has done an admirable job of supporting the Xbox One with new features over the years, and today the company is extending some popular features to the Microsoft Store for Xbox and Windows Insiders. In a post on Xbox Wire, Senior Product Marketing Ma… [+1390 chars]
